name,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
London,2024-01-01 00:00:00,7.6,5.8,10.7,,,,23.9,46.3,999.5,70
London,2024-01-02 00:00:00,10.9,9.4,12.2,,,,29.7,63,986.1,3
London,2024-01-03 00:00:00,8.5,6.3,9.9,,,,22,40.8,991,61
London,2024-01-04 00:00:00,6.5,5,7.7,,,,14.6,35.2,999.5,52
London,2024-01-05 00:00:00,5.2,4.1,5.9,,,,19.8,46.3,1001.3,5
London,2024-01-06 00:00:00,3.6,2.6,4.8,,,,11,27.8,1016.3,62
London,2024-01-07 00:00:00,1.6,0.1,3.2,,,,14.8,35.2,1027.4,133
London,2024-01-08 00:00:00,0.5,-0.3,1.6,,,,15.1,35.2,1032.3,57
London,2024-01-09 00:00:00,0.2,-1,1.9,,,,18.5,40.8,1031.3,168
London,2024-01-10 00:00:00,0.4,-1.5,3.4,,,,15.5,35.2,1030,265
London,2024-01-11 00:00:00,1.6,-1.6,4.5,,,,12.1,29.6,1036.2,208
London,2024-01-12 00:00:00,4.1,2.8,5.5,,,,9.3,24.1,1035.8,3
London,2024-01-13 00:00:00,2,0.6,3.5,,,,6.4,20.4,1025.9,115
London,2024-01-14 00:00:00,2.1,0.7,3.9,,,,9.4,25.9,1013.6,37
London,2024-01-15 00:00:00,-1.2,-3.7,1.2,,,,11.1,31.5,1011.2,352
London,2024-01-16 00:00:00,-1.4,-3.6,1.8,,,,7.7,22.2,1008.2,266
London,2024-01-17 00:00:00,-0.9,-2.7,1.1,,,,9.1,25.9,993.4,0
London,2024-01-18 00:00:00,-3,-5.9,0.4,,,,10.7,27.8,1006.8,320
London,2024-01-19 00:00:00,-1.2,-4.3,3,,,,8.5,24.1,1021.8,347
London,2024-01-20 00:00:00,1.6,-0.5,4,,,,19.6,40.8,1023.1,46
London,2024-01-21 00:00:00,8.6,3,11.9,,,,37.5,77.8,1010,20
London,2024-01-22 00:00:00,8.9,6.3,11.8,,,,34.6,79.6,1008.2,223
London,2024-01-23 00:00:00,8.6,4.6,13,,,,27.7,55.5,1018.7,0
London,2024-01-24 00:00:00,9.5,6.4,12.1,,,,25.2,59.3,1023.1,101
London,2024-01-25 00:00:00,9,5.6,11.1,,,,16.4,40.8,1025,0
London,2024-01-26 00:00:00,7.7,2.6,12,,,,21.1,48.2,1027.1,352
London,2024-01-27 00:00:00,3.4,0.7,7.3,,,,10.8,27.8,1032.8,68
London,2024-01-28 00:00:00,5.9,2.1,9.8,,,,15,31.5,1022.9,117
London,2024-01-29 00:00:00,10.2,7.9,12.4,,,,16.1,37,1022,41
London,2024-01-30 00:00:00,7.7,4,11.3,,,,16.4,40.8,1027.6,11
London,2024-01-31 00:00:00,6.3,2.1,10.1,,,,16.7,42.6,1029.9,30
London,2024-02-01 00:00:00,5.5,2.7,9.4,,,,9.9,29.6,1032.7,207
London,2024-02-02 00:00:00,8.8,3.6,12.1,,,,20.2,44.5,1030,41
London,2024-02-03 00:00:00,11,9.7,12.6,,,,20.1,38.9,1027.6,6
London,2024-02-04 00:00:00,11.1,9.2,12.6,,,,25.3,50,1024.9,4
London,2024-02-05 00:00:00,9.6,8,11.1,,,,26.6,51.8,1020.1,21
London,2024-02-06 00:00:00,11.1,9.3,12.1,,,,31.8,57.4,1009.4,9
London,2024-02-07 00:00:00,6.4,3.9,8.7,,,,8.9,31.5,1004.9,56
London,2024-02-08 00:00:00,7.2,3.5,10.8,,,,16,37,991.6,4
London,2024-02-09 00:00:00,10.7,9.7,11.9,,,,23.9,50,978.1,61
London,2024-02-10 00:00:00,8.7,6.7,10.1,,,,8.3,22.2,983.1,19
London,2024-02-11 00:00:00,6.6,4.4,9.7,,,,9.6,29.6,990.7,173
London,2024-02-12 00:00:00,4.7,1.9,8.6,,,,11.4,31.5,1005.6,365
London,2024-02-13 00:00:00,7.6,4.4,10.8,,,,18.7,37,1011.9,9
London,2024-02-14 00:00:00,11.9,10.6,13.3,,,,21.9,38.9,1012.5,6
London,2024-02-15 00:00:00,13.1,11.2,15.6,,,,15.4,29.6,1009,77
London,2024-02-16 00:00:00,10.8,7.5,13,,,,14.3,37,1014.9,138
London,2024-02-17 00:00:00,9.6,6.1,12.3,,,,15.1,40.8,1028.4,9
London,2024-02-18 00:00:00,11.7,8.8,14.2,,,,18.4,38.9,1025.4,136
London,2024-02-19 00:00:00,8.9,6.6,12.7,,,,14.2,38.9,1029.4,158
London,2024-02-20 00:00:00,8.6,5.4,12,,,,17.2,44.5,1026,29
London,2024-02-21 00:00:00,9.8,8.9,11.1,,,,25.1,55.5,1007.5,3
London,2024-02-22 00:00:00,8.3,4.2,11.1,,,,23.2,46.3,985.1,18
London,2024-02-23 00:00:00,4.8,2.7,7.6,,,,16,35.2,986.6,123
London,2024-02-24 00:00:00,3.3,0,7.5,,,,6.8,20.4,995,206
London,2024-02-25 00:00:00,4.1,-0.3,7.8,,,,15.7,42.6,995.7,45
London,2024-02-26 00:00:00,5.9,2.9,7.7,,,,29.7,61.1,1008.6,83
London,2024-02-27 00:00:00,4.2,1.1,7.1,,,,9.6,24.1,1020.5,98
London,2024-02-28 00:00:00,7.5,3.8,10.7,,,,15.1,37,1017,1
London,2024-02-29 00:00:00,8.9,4.8,10.7,,,,16.7,38.9,1004.7,7
London,2024-03-01 00:00:00,5.3,3.6,7.6,,,,20.4,50,993.7,132
London,2024-03-02 00:00:00,5.2,2.1,7.5,,,,16.6,37,992.2,123
London,2024-03-03 00:00:00,3,-0.7,8,,,,5.7,18.5,1002.7,163
